-------------------------------------------------------------------------------------------------------------
SD-80/SD-90 Native Instruments List
-------------------------------------------------------------------------------------------------------------
PC	LSB	MSB	Classical Map	MSB	Contemporary Map	MSB	Solo Map	MSB	Enhanced Map
94	0	80	TC Lead Gt  	#	94	0	81	Wedo-Wodo   	
95	0	80	Lead Mild Gt	 	95	0	81	Dance Sweet 	
96	0	80	Crunch Gt   	 	96	0	81	Dancefloor  
97	0	80	Auto Wah Gt 	 	97	0	81	Frogcillator
98	0	80	Folmant Gt  	 	98	0	81	Dance Zipper
99	0	80	Fuzz Gt     	 	99	0	81	Lo-fi Chord 
100	0	80	MonoPhase Gt	 	100	0	81	Sliced      
101	0	80	2 Layer Gt  	 	101	0	81	Dance Chop  
102	0	80	MonoDLY Dist	 	102	0	81	GO WILD!    
103	0	80	Step FLG Gt 	 	103	0	81	Tropics     
104	0	80	335 Fuzz    	 	104	0	81	FM Fx Bells 
105	0	80	Drive Funk  	 	105	0	81	CrystalGlass
106	0	80	Loud & Metal	 	106	0	81	Borealis    
107	0	80	Heavy DistGt	#	107	0	81	Circular Pad
108	0	80	Power Mute  	 	108	0	81	Oxigenizer  
109	0	80	Muted OD    	#	109	0	81	Quasar      
110	0	80	Combo Drive 	 	110	0	81	PsycheSweep 
111	0	80	Ring Gt.    	 	111	0	81	Hell Section
112	0	80	Scream Drive	 	112	0	81	DigitalDrone	
113	0	80	Gt.Pinch Wah	 	113	0	81	Harp Drop   	
114	0	80	Power DistGt	 	114	0	81	Runaway Rez 	
115	0	80	Triple Gt   	 	115	0	81	Wacky Pizzer	
116	0	80	Reverse Harm	 	116	0	81	Reverse Rain	#
117	0	80	Drivin'Uprit	 	117	0	81	Starburst   	
118	0	80	Enh.Aco Bass	#	118	0	81	Tongan Delay	
119	0	80	Pre Bass    	#	119	0	81	Cascade     	
120	0	80	Comp Finger 	#	120	0	81	Legat~Stacat	
121	0	80	Octrv Finger	 	121	0	81	Rev Goblin  	#
122	0	80	Rock Bass   	#	122	0	81	FantasySitar	#
123	0	80	Dist Bass   	 	123	0	81	Rising Sun  	
124	0	80	Solo Fretles	 	124	0	81	Green Tea   	
125	0	80	WahSlapBass 	 	125	0	81	Jimmy's Koto	
126	0	80	Froggy Bass 		126	0	81	Fly 2 India 	
127	0	80	3D TB-303   		127	0	81	IndianSpirit	
128	0	80	Acid Dist Bs	#	128	0	81	Gt/BsNz MENU
